"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 04:18:45,15.5 GiB,2.34 GiB,1.40 GiB,11.8 GiB,434 MiB
2024-12-16 04:19:00,15.5 GiB,2.50 GiB,1.41 GiB,11.6 GiB,434 MiB
2024-12-16 04:19:15,15.5 GiB,2.58 GiB,1.43 GiB,11.5 GiB,434 MiB
2024-12-16 04:19:30,15.5 GiB,2.59 GiB,1.43 GiB,11.5 GiB,434 MiB
2024-12-16 04:19:45,15.5 GiB,2.60 GiB,1.45 GiB,11.5 GiB,434 MiB
2024-12-16 04:20:00,15.5 GiB,2.62 GiB,1.46 GiB,11.5 GiB,434 MiB
2024-12-16 04:20:15,15.5 GiB,2.61 GiB,1.47 GiB,11.5 GiB,434 MiB
2024-12-16 04:20:30,15.5 GiB,2.62 GiB,1.48 GiB,11.4 GiB,434 MiB
2024-12-16 04:20:45,15.5 GiB,2.63 GiB,1.49 GiB,11.4 GiB,434 MiB
2024-12-16 04:21:00,15.5 GiB,2.62 GiB,1.51 GiB,11.4 GiB,434 MiB
2024-12-16 04:21:15,15.5 GiB,2.63 GiB,1.51 GiB,11.4 GiB,434 MiB
2024-12-16 04:21:30,15.5 GiB,2.65 GiB,1.53 GiB,11.4 GiB,434 MiB
2024-12-16 04:21:45,15.5 GiB,2.64 GiB,1.54 GiB,11.4 GiB,434 MiB
2024-12-16 04:22:00,15.5 GiB,2.66 GiB,1.55 GiB,11.3 GiB,434 MiB
2024-12-16 04:22:15,15.5 GiB,2.67 GiB,1.56 GiB,11.3 GiB,434 MiB
2024-12-16 04:22:30,15.5 GiB,2.68 GiB,1.57 GiB,11.3 GiB,434 MiB
2024-12-16 04:22:45,15.5 GiB,2.69 GiB,1.59 GiB,11.3 GiB,434 MiB
2024-12-16 04:23:00,15.5 GiB,2.69 GiB,1.59 GiB,11.3 GiB,434 MiB
2024-12-16 04:23:15,15.5 GiB,2.69 GiB,1.61 GiB,11.2 GiB,434 MiB
2024-12-16 04:23:30,15.5 GiB,2.71 GiB,1.62 GiB,11.2 GiB,434 MiB
2024-12-16 04:23:45,15.5 GiB,2.73 GiB,1.63 GiB,11.2 GiB,434 MiB
2024-12-16 04:24:00,15.5 GiB,2.70 GiB,1.64 GiB,11.2 GiB,434 MiB
2024-12-16 04:24:15,15.5 GiB,2.73 GiB,1.66 GiB,11.2 GiB,434 MiB
2024-12-16 04:24:30,15.5 GiB,2.73 GiB,1.67 GiB,11.2 GiB,434 MiB
2024-12-16 04:24:45,15.5 GiB,2.71 GiB,1.68 GiB,11.2 GiB,434 MiB
2024-12-16 04:25:00,15.5 GiB,2.74 GiB,1.69 GiB,11.1 GiB,434 MiB
2024-12-16 04:25:15,15.5 GiB,2.73 GiB,1.70 GiB,11.1 GiB,434 MiB
2024-12-16 04:25:30,15.5 GiB,2.78 GiB,1.71 GiB,11.1 GiB,434 MiB
2024-12-16 04:25:45,15.5 GiB,2.78 GiB,1.72 GiB,11.0 GiB,434 MiB
2024-12-16 04:26:00,15.5 GiB,2.77 GiB,1.74 GiB,11.0 GiB,434 MiB
2024-12-16 04:26:15,15.5 GiB,2.76 GiB,1.75 GiB,11.0 GiB,434 MiB
2024-12-16 04:26:30,15.5 GiB,2.79 GiB,1.76 GiB,11.0 GiB,434 MiB
2024-12-16 04:26:45,15.5 GiB,2.79 GiB,1.77 GiB,11.0 GiB,434 MiB
2024-12-16 04:27:00,15.5 GiB,2.80 GiB,1.79 GiB,11.0 GiB,434 MiB
2024-12-16 04:27:15,15.5 GiB,2.81 GiB,1.80 GiB,10.9 GiB,434 MiB
2024-12-16 04:27:30,15.5 GiB,2.85 GiB,1.81 GiB,10.9 GiB,434 MiB
2024-12-16 04:27:45,15.5 GiB,2.84 GiB,1.82 GiB,10.9 GiB,434 MiB
2024-12-16 04:28:00,15.5 GiB,2.84 GiB,1.84 GiB,10.9 GiB,434 MiB
2024-12-16 04:28:15,15.5 GiB,2.85 GiB,1.84 GiB,10.9 GiB,434 MiB
2024-12-16 04:28:30,15.5 GiB,2.86 GiB,1.85 GiB,10.8 GiB,434 MiB
2024-12-16 04:28:45,15.5 GiB,2.85 GiB,1.87 GiB,10.8 GiB,434 MiB
2024-12-16 04:29:00,15.5 GiB,2.86 GiB,1.88 GiB,10.8 GiB,434 MiB
