"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 05:00:15,15.5 GiB,5.32 GiB,1.29 GiB,8.95 GiB,434 MiB
2024-12-16 05:00:30,15.5 GiB,5.40 GiB,1.38 GiB,8.77 GiB,434 MiB
2024-12-16 05:00:45,15.5 GiB,5.41 GiB,1.38 GiB,8.76 GiB,434 MiB
2024-12-16 05:01:00,15.5 GiB,5.41 GiB,1.38 GiB,8.76 GiB,434 MiB
2024-12-16 05:01:15,15.5 GiB,5.40 GiB,1.38 GiB,8.76 GiB,434 MiB
2024-12-16 05:01:30,15.5 GiB,5.40 GiB,1.38 GiB,8.76 GiB,434 MiB
2024-12-16 05:01:45,15.5 GiB,5.43 GiB,1.38 GiB,8.74 GiB,434 MiB
2024-12-16 05:02:00,15.5 GiB,5.44 GiB,1.38 GiB,8.73 GiB,434 MiB
2024-12-16 05:02:15,15.5 GiB,5.46 GiB,1.38 GiB,8.71 GiB,434 MiB
2024-12-16 05:02:30,15.5 GiB,5.46 GiB,1.38 GiB,8.71 GiB,434 MiB
2024-12-16 05:02:45,15.5 GiB,5.48 GiB,1.38 GiB,8.68 GiB,434 MiB
2024-12-16 05:03:00,15.5 GiB,5.49 GiB,1.38 GiB,8.67 GiB,434 MiB
2024-12-16 05:03:15,15.5 GiB,5.50 GiB,1.38 GiB,8.67 GiB,434 MiB
2024-12-16 05:03:30,15.5 GiB,5.51 GiB,1.38 GiB,8.65 GiB,434 MiB
2024-12-16 05:03:45,15.5 GiB,5.53 GiB,1.38 GiB,8.64 GiB,434 MiB
2024-12-16 05:04:00,15.5 GiB,5.54 GiB,1.43 GiB,8.57 GiB,434 MiB
2024-12-16 05:04:15,15.5 GiB,5.55 GiB,1.43 GiB,8.56 GiB,434 MiB
2024-12-16 05:04:30,15.5 GiB,5.57 GiB,1.43 GiB,8.55 GiB,434 MiB
2024-12-16 05:04:45,15.5 GiB,5.59 GiB,1.43 GiB,8.53 GiB,434 MiB
2024-12-16 05:05:00,15.5 GiB,5.61 GiB,1.43 GiB,8.51 GiB,434 MiB
2024-12-16 05:05:15,15.5 GiB,5.62 GiB,1.43 GiB,8.50 GiB,434 MiB
2024-12-16 05:05:30,15.5 GiB,5.61 GiB,1.43 GiB,8.51 GiB,434 MiB
2024-12-16 05:05:45,15.5 GiB,5.63 GiB,1.43 GiB,8.49 GiB,434 MiB
2024-12-16 05:06:00,15.5 GiB,5.64 GiB,1.43 GiB,8.48 GiB,434 MiB
2024-12-16 05:06:15,15.5 GiB,5.66 GiB,1.44 GiB,8.45 GiB,434 MiB
2024-12-16 05:06:30,15.5 GiB,5.67 GiB,1.44 GiB,8.44 GiB,434 MiB
2024-12-16 05:06:45,15.5 GiB,5.69 GiB,1.44 GiB,8.42 GiB,434 MiB
2024-12-16 05:07:00,15.5 GiB,5.71 GiB,1.44 GiB,8.41 GiB,434 MiB
2024-12-16 05:07:15,15.5 GiB,5.72 GiB,1.44 GiB,8.39 GiB,434 MiB
2024-12-16 05:07:30,15.5 GiB,5.73 GiB,1.44 GiB,8.38 GiB,434 MiB
2024-12-16 05:07:45,15.5 GiB,5.76 GiB,1.44 GiB,8.36 GiB,434 MiB
2024-12-16 05:08:00,15.5 GiB,5.76 GiB,1.44 GiB,8.35 GiB,434 MiB
2024-12-16 05:08:15,15.5 GiB,5.80 GiB,1.44 GiB,8.31 GiB,434 MiB
2024-12-16 05:08:30,15.5 GiB,5.80 GiB,1.44 GiB,8.31 GiB,434 MiB
2024-12-16 05:08:45,15.5 GiB,5.82 GiB,1.44 GiB,8.30 GiB,434 MiB
2024-12-16 05:09:00,15.5 GiB,5.84 GiB,1.44 GiB,8.28 GiB,434 MiB
2024-12-16 05:09:15,15.5 GiB,5.85 GiB,1.44 GiB,8.26 GiB,434 MiB
2024-12-16 05:09:30,15.5 GiB,5.87 GiB,1.44 GiB,8.24 GiB,434 MiB
2024-12-16 05:09:45,15.5 GiB,5.90 GiB,1.44 GiB,8.21 GiB,434 MiB
2024-12-16 05:10:00,15.5 GiB,5.91 GiB,1.44 GiB,8.20 GiB,434 MiB
2024-12-16 05:10:15,15.5 GiB,5.93 GiB,1.44 GiB,8.18 GiB,434 MiB
2024-12-16 05:10:30,15.5 GiB,5.94 GiB,1.44 GiB,8.17 GiB,434 MiB
2024-12-16 05:10:45,15.5 GiB,5.96 GiB,1.44 GiB,8.15 GiB,434 MiB
