"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 05:38:00,15.5 GiB,2.38 GiB,1.04 GiB,12.1 GiB,434 MiB
2024-12-16 05:38:15,15.5 GiB,2.42 GiB,1.04 GiB,12.1 GiB,434 MiB
2024-12-16 05:38:30,15.5 GiB,2.51 GiB,1.05 GiB,12.0 GiB,434 MiB
2024-12-16 05:38:45,15.5 GiB,2.52 GiB,1.05 GiB,12.0 GiB,434 MiB
2024-12-16 05:39:00,15.5 GiB,2.54 GiB,1.05 GiB,12.0 GiB,434 MiB
2024-12-16 05:39:15,15.5 GiB,2.55 GiB,1.05 GiB,12.0 GiB,434 MiB
2024-12-16 05:39:30,15.5 GiB,2.58 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:39:45,15.5 GiB,2.58 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:40:00,15.5 GiB,2.60 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:40:15,15.5 GiB,2.60 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:40:30,15.5 GiB,2.61 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:40:45,15.5 GiB,2.62 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:41:00,15.5 GiB,2.62 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:41:15,15.5 GiB,2.64 GiB,1.05 GiB,11.9 GiB,434 MiB
2024-12-16 05:41:30,15.5 GiB,2.66 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:41:45,15.5 GiB,2.66 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:42:00,15.5 GiB,2.67 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:42:15,15.5 GiB,2.69 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:42:30,15.5 GiB,2.71 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:42:45,15.5 GiB,2.72 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:43:00,15.5 GiB,2.73 GiB,1.05 GiB,11.8 GiB,434 MiB
2024-12-16 05:43:15,15.5 GiB,2.75 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:43:30,15.5 GiB,2.76 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:43:45,15.5 GiB,2.77 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:44:00,15.5 GiB,2.78 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:44:15,15.5 GiB,2.79 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:44:30,15.5 GiB,2.81 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:44:45,15.5 GiB,2.81 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:45:00,15.5 GiB,2.82 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:45:15,15.5 GiB,2.82 GiB,1.05 GiB,11.7 GiB,434 MiB
2024-12-16 05:45:30,15.5 GiB,2.85 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:45:45,15.5 GiB,2.86 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:46:00,15.5 GiB,2.88 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:46:15,15.5 GiB,2.89 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:46:30,15.5 GiB,2.91 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:46:45,15.5 GiB,2.92 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:47:00,15.5 GiB,2.93 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:47:15,15.5 GiB,2.93 GiB,1.05 GiB,11.6 GiB,434 MiB
2024-12-16 05:47:30,15.5 GiB,2.96 GiB,1.05 GiB,11.5 GiB,434 MiB
2024-12-16 05:47:45,15.5 GiB,2.96 GiB,1.05 GiB,11.5 GiB,434 MiB
2024-12-16 05:48:00,15.5 GiB,2.97 GiB,1.05 GiB,11.5 GiB,434 MiB
2024-12-16 05:48:15,15.5 GiB,2.99 GiB,1.05 GiB,11.5 GiB,434 MiB
2024-12-16 05:48:30,15.5 GiB,3.00 GiB,1.05 GiB,11.5 GiB,434 MiB
