"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 11:00:15,15.5 GiB,2.11 GiB,1.34 GiB,12.1 GiB,434 MiB
2024-12-16 11:00:30,15.5 GiB,2.09 GiB,1.36 GiB,12.1 GiB,434 MiB
2024-12-16 11:00:45,15.5 GiB,2.71 GiB,1.41 GiB,11.4 GiB,434 MiB
2024-12-16 11:01:00,15.5 GiB,2.81 GiB,1.52 GiB,11.2 GiB,434 MiB
2024-12-16 11:01:15,15.5 GiB,2.87 GiB,1.58 GiB,11.1 GiB,434 MiB
2024-12-16 11:01:30,15.5 GiB,2.87 GiB,1.69 GiB,11.0 GiB,434 MiB
2024-12-16 11:01:45,15.5 GiB,2.90 GiB,1.83 GiB,10.8 GiB,434 MiB
2024-12-16 11:02:00,15.5 GiB,2.90 GiB,1.94 GiB,10.7 GiB,434 MiB
2024-12-16 11:02:15,15.5 GiB,2.88 GiB,2.00 GiB,10.7 GiB,434 MiB
2024-12-16 11:02:30,15.5 GiB,2.89 GiB,2.30 GiB,10.4 GiB,434 MiB
2024-12-16 11:02:45,15.5 GiB,2.88 GiB,2.36 GiB,10.3 GiB,434 MiB
2024-12-16 11:03:00,15.5 GiB,2.96 GiB,2.47 GiB,10.1 GiB,434 MiB
2024-12-16 11:03:15,15.5 GiB,2.93 GiB,2.52 GiB,10.1 GiB,434 MiB
2024-12-16 11:03:30,15.5 GiB,2.89 GiB,2.64 GiB,10.0 GiB,434 MiB
2024-12-16 11:03:45,15.5 GiB,2.91 GiB,2.70 GiB,9.95 GiB,434 MiB
2024-12-16 11:04:00,15.5 GiB,2.99 GiB,2.81 GiB,9.75 GiB,434 MiB
2024-12-16 11:04:15,15.5 GiB,2.95 GiB,2.87 GiB,9.74 GiB,434 MiB
2024-12-16 11:04:30,15.5 GiB,2.97 GiB,2.98 GiB,9.60 GiB,434 MiB
2024-12-16 11:04:45,15.5 GiB,2.97 GiB,3.04 GiB,9.55 GiB,434 MiB
2024-12-16 11:05:00,15.5 GiB,2.97 GiB,3.15 GiB,9.43 GiB,434 MiB
2024-12-16 11:05:15,15.5 GiB,3.00 GiB,3.20 GiB,9.34 GiB,434 MiB
2024-12-16 11:05:30,15.5 GiB,2.99 GiB,3.32 GiB,9.24 GiB,434 MiB
2024-12-16 11:05:45,15.5 GiB,2.99 GiB,3.37 GiB,9.18 GiB,434 MiB
2024-12-16 11:06:00,15.5 GiB,3.02 GiB,3.49 GiB,9.05 GiB,434 MiB
2024-12-16 11:06:15,15.5 GiB,3.03 GiB,3.54 GiB,8.97 GiB,434 MiB
2024-12-16 11:06:30,15.5 GiB,3.00 GiB,3.66 GiB,8.89 GiB,434 MiB
2024-12-16 11:06:45,15.5 GiB,3.02 GiB,3.71 GiB,8.81 GiB,434 MiB
2024-12-16 11:07:00,15.5 GiB,3.07 GiB,3.82 GiB,8.65 GiB,434 MiB
2024-12-16 11:07:15,15.5 GiB,3.09 GiB,3.88 GiB,8.58 GiB,434 MiB
2024-12-16 11:07:30,15.5 GiB,3.06 GiB,3.93 GiB,8.56 GiB,434 MiB
2024-12-16 11:07:45,15.5 GiB,3.06 GiB,4.04 GiB,8.45 GiB,434 MiB
2024-12-16 11:08:00,15.5 GiB,3.06 GiB,4.09 GiB,8.40 GiB,434 MiB
2024-12-16 11:08:15,15.5 GiB,3.09 GiB,4.21 GiB,8.25 GiB,434 MiB
2024-12-16 11:08:30,15.5 GiB,3.10 GiB,4.26 GiB,8.19 GiB,434 MiB
2024-12-16 11:08:45,15.5 GiB,3.09 GiB,4.37 GiB,8.09 GiB,434 MiB
2024-12-16 11:09:00,15.5 GiB,3.10 GiB,4.42 GiB,8.03 GiB,434 MiB
2024-12-16 11:09:15,15.5 GiB,3.16 GiB,4.54 GiB,7.86 GiB,434 MiB
2024-12-16 11:09:30,15.5 GiB,3.15 GiB,4.59 GiB,7.81 GiB,434 MiB
2024-12-16 11:09:45,15.5 GiB,3.13 GiB,4.70 GiB,7.71 GiB,434 MiB
2024-12-16 11:10:00,15.5 GiB,3.16 GiB,4.76 GiB,7.63 GiB,434 MiB
2024-12-16 11:10:15,15.5 GiB,3.16 GiB,4.87 GiB,7.52 GiB,434 MiB
2024-12-16 11:10:30,15.5 GiB,3.15 GiB,4.92 GiB,7.48 GiB,434 MiB
2024-12-16 11:10:45,15.5 GiB,3.17 GiB,5.03 GiB,7.34 GiB,434 MiB
