"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 03:34:00,15.5 GiB,2.69 GiB,1.89 GiB,11.0 GiB,434 MiB
2024-12-16 03:34:15,15.5 GiB,2.84 GiB,1.90 GiB,10.8 GiB,434 MiB
2024-12-16 03:34:30,15.5 GiB,2.89 GiB,1.92 GiB,10.7 GiB,434 MiB
2024-12-16 03:34:45,15.5 GiB,2.89 GiB,1.93 GiB,10.7 GiB,434 MiB
2024-12-16 03:35:00,15.5 GiB,2.94 GiB,1.94 GiB,10.7 GiB,434 MiB
2024-12-16 03:35:15,15.5 GiB,2.97 GiB,1.96 GiB,10.6 GiB,434 MiB
2024-12-16 03:35:30,15.5 GiB,2.99 GiB,1.97 GiB,10.6 GiB,434 MiB
2024-12-16 03:35:45,15.5 GiB,3.03 GiB,1.99 GiB,10.5 GiB,434 MiB
2024-12-16 03:36:00,15.5 GiB,3.04 GiB,2.00 GiB,10.5 GiB,434 MiB
2024-12-16 03:36:15,15.5 GiB,3.09 GiB,2.01 GiB,10.4 GiB,434 MiB
2024-12-16 03:36:30,15.5 GiB,3.11 GiB,2.02 GiB,10.4 GiB,434 MiB
2024-12-16 03:36:45,15.5 GiB,3.19 GiB,2.04 GiB,10.3 GiB,434 MiB
2024-12-16 03:37:00,15.5 GiB,3.26 GiB,2.05 GiB,10.2 GiB,434 MiB
2024-12-16 03:37:15,15.5 GiB,3.30 GiB,2.07 GiB,10.2 GiB,434 MiB
2024-12-16 03:37:30,15.5 GiB,3.31 GiB,2.08 GiB,10.2 GiB,434 MiB
2024-12-16 03:37:45,15.5 GiB,3.32 GiB,2.08 GiB,10.1 GiB,434 MiB
2024-12-16 03:38:00,15.5 GiB,3.33 GiB,2.10 GiB,10.1 GiB,434 MiB
2024-12-16 03:38:15,15.5 GiB,3.38 GiB,2.11 GiB,10.1 GiB,434 MiB
2024-12-16 03:38:30,15.5 GiB,3.40 GiB,2.13 GiB,10.0 GiB,434 MiB
2024-12-16 03:38:45,15.5 GiB,3.41 GiB,2.14 GiB,10.0 GiB,434 MiB
2024-12-16 03:39:00,15.5 GiB,3.41 GiB,2.15 GiB,9.98 GiB,434 MiB
2024-12-16 03:39:15,15.5 GiB,3.43 GiB,2.16 GiB,9.96 GiB,434 MiB
2024-12-16 03:39:30,15.5 GiB,3.53 GiB,2.18 GiB,9.84 GiB,434 MiB
2024-12-16 03:39:45,15.5 GiB,3.60 GiB,2.19 GiB,9.76 GiB,434 MiB
2024-12-16 03:40:00,15.5 GiB,3.63 GiB,2.21 GiB,9.71 GiB,434 MiB
2024-12-16 03:40:15,15.5 GiB,3.64 GiB,2.22 GiB,9.69 GiB,434 MiB
2024-12-16 03:40:30,15.5 GiB,3.66 GiB,2.24 GiB,9.65 GiB,434 MiB
2024-12-16 03:40:45,15.5 GiB,3.67 GiB,2.24 GiB,9.64 GiB,434 MiB
2024-12-16 03:41:00,15.5 GiB,3.66 GiB,2.25 GiB,9.64 GiB,434 MiB
2024-12-16 03:41:15,15.5 GiB,3.68 GiB,2.27 GiB,9.60 GiB,434 MiB
2024-12-16 03:41:30,15.5 GiB,3.70 GiB,2.28 GiB,9.57 GiB,434 MiB
2024-12-16 03:41:45,15.5 GiB,3.77 GiB,2.30 GiB,9.48 GiB,434 MiB
2024-12-16 03:42:00,15.5 GiB,3.78 GiB,2.31 GiB,9.46 GiB,434 MiB
2024-12-16 03:42:15,15.5 GiB,3.80 GiB,2.32 GiB,9.43 GiB,434 MiB
2024-12-16 03:42:30,15.5 GiB,3.80 GiB,2.33 GiB,9.41 GiB,434 MiB
2024-12-16 03:42:45,15.5 GiB,3.82 GiB,2.35 GiB,9.38 GiB,434 MiB
2024-12-16 03:43:00,15.5 GiB,3.82 GiB,2.36 GiB,9.37 GiB,434 MiB
2024-12-16 03:43:15,15.5 GiB,3.83 GiB,2.38 GiB,9.34 GiB,434 MiB
2024-12-16 03:43:30,15.5 GiB,3.85 GiB,2.39 GiB,9.31 GiB,434 MiB
2024-12-16 03:43:45,15.5 GiB,3.87 GiB,2.40 GiB,9.27 GiB,434 MiB
2024-12-16 03:44:00,15.5 GiB,3.88 GiB,2.41 GiB,9.26 GiB,434 MiB
2024-12-16 03:44:15,15.5 GiB,3.88 GiB,2.42 GiB,9.25 GiB,434 MiB
