"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-15 16:59:30,0.258%,0.275%,0.0250%,0.0250%,0%,99.2%
2024-12-15 16:59:45,0.504%,1.24%,0.404%,0.275%,0%,97.7%
2024-12-15 17:00:00,0.733%,1.51%,0.00833%,0.304%,0%,97.4%
2024-12-15 17:00:15,0.654%,0.746%,0.0208%,0.225%,0%,98.2%
2024-12-15 17:00:30,0.725%,0.921%,0.0333%,0.221%,0%,98.1%
2024-12-15 17:00:45,0.650%,0.679%,0.0208%,0.287%,0%,98.2%
2024-12-15 17:01:00,0.679%,0.950%,0.0792%,0.158%,0%,98.2%
2024-12-15 17:01:15,0.679%,0.854%,0.0333%,0.242%,0%,98.1%
2024-12-15 17:01:30,0.596%,0.838%,0.0167%,0.208%,0%,98.3%
2024-12-15 17:01:45,0.571%,0.721%,0.0250%,0.212%,0%,98.3%
2024-12-15 17:02:00,0.587%,0.946%,0.00417%,0.158%,0%,98.2%
2024-12-15 17:02:15,0.583%,0.879%,0.0250%,0.292%,0%,98.2%
2024-12-15 17:02:30,0.654%,1.01%,0.0125%,0.187%,0%,98.2%
2024-12-15 17:02:45,0.683%,1.04%,0.0208%,0.225%,0%,98.3%
2024-12-15 17:03:00,0.717%,0.875%,0.0208%,0.283%,0%,98.2%
2024-12-15 17:03:15,0.633%,0.908%,0.00417%,0.283%,0%,98.0%
2024-12-15 17:03:30,0.654%,0.821%,0.0167%,0.279%,0%,98.3%
2024-12-15 17:03:45,0.738%,0.683%,0.00417%,0.350%,0%,98.2%
2024-12-15 17:04:00,0.621%,0.925%,0.0208%,0.171%,0%,98.1%
2024-12-15 17:04:15,0.562%,0.867%,0.00417%,0.208%,0%,98.2%
2024-12-15 17:04:30,0.671%,0.904%,0.0208%,0.279%,0%,98.2%
2024-12-15 17:04:45,0.662%,0.758%,0.00417%,0.242%,0%,98.2%
2024-12-15 17:05:00,0.633%,0.792%,0.0292%,0.267%,0%,98.2%
2024-12-15 17:05:15,0.592%,0.750%,0.00417%,0.242%,0%,98.3%
2024-12-15 17:05:30,0.671%,0.896%,0.0167%,0.196%,0%,98.2%
2024-12-15 17:05:45,0.588%,0.783%,0.00417%,0.254%,0%,98.3%
2024-12-15 17:06:00,0.608%,0.767%,0.00833%,0.254%,0%,98.3%
2024-12-15 17:06:15,0.650%,0.808%,0.0125%,0.308%,0%,98.2%
2024-12-15 17:06:30,0.542%,0.838%,0%,0.200%,0%,98.2%
2024-12-15 17:06:45,0.667%,0.954%,0.00417%,0.217%,0%,98.2%
2024-12-15 17:07:00,0.692%,0.850%,0.00417%,0.171%,0%,98.3%
2024-12-15 17:07:15,0.650%,0.929%,0.00833%,0.217%,0%,98.3%
2024-12-15 17:07:30,0.579%,0.758%,0.00417%,0.271%,0%,98.2%
2024-12-15 17:07:45,0.642%,0.771%,0.00417%,0.221%,0%,98.3%
2024-12-15 17:08:00,0.571%,0.892%,0.00417%,0.212%,0%,98.3%
2024-12-15 17:08:15,0.725%,2.97%,0.117%,0.208%,0%,96.0%
2024-12-15 17:08:30,0.671%,0.825%,0.00417%,0.179%,0%,98.3%
2024-12-15 17:08:45,0.692%,2.58%,0.0625%,0.546%,0%,96.3%
2024-12-15 17:09:00,0.738%,5.18%,0.00833%,1.04%,0%,93.7%
2024-12-15 17:09:15,0.762%,5.17%,0.0125%,0.879%,0%,93.7%
2024-12-15 17:09:30,0.646%,4.11%,0.0125%,0.421%,0%,94.8%
2024-12-15 17:09:45,0.708%,3.45%,0.00417%,0.571%,0%,95.5%
