"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-15 15:23:30,0.154%,0.383%,0.00834%,0.0500%,0%,99.4%
2024-12-15 15:23:45,0.119%,0.242%,0.00822%,0.0164%,0%,98.2%
2024-12-15 15:24:00,2.93%,4.94%,0%,0.863%,0%,90.8%
2024-12-15 15:24:15,2.81%,4.84%,0%,0.761%,0%,89.7%
2024-12-15 15:24:30,2.80%,4.87%,0.00417%,0.762%,0%,91.3%
2024-12-15 15:24:45,2.71%,4.90%,0.00411%,0.773%,0%,89.9%
2024-12-15 15:25:00,2.82%,4.90%,0.00417%,0.713%,0%,91.1%
2024-12-15 15:25:15,2.75%,4.88%,0.0123%,0.674%,0%,89.8%
2024-12-15 15:25:30,2.78%,5.01%,0%,0.696%,0%,91.2%
2024-12-15 15:25:45,2.65%,4.69%,0.00411%,0.806%,0%,89.9%
2024-12-15 15:26:00,2.77%,5.05%,0%,0.796%,0%,91.0%
2024-12-15 15:26:15,2.78%,4.88%,0.00411%,0.741%,0%,89.9%
2024-12-15 15:26:30,2.73%,5.02%,0.00417%,0.717%,0%,91.1%
2024-12-15 15:26:45,2.61%,4.73%,0%,0.654%,0%,90.0%
2024-12-15 15:27:00,2.83%,5.36%,0.00834%,0.767%,0%,91.0%
2024-12-15 15:27:15,2.82%,5.08%,0.00411%,0.584%,0%,89.8%
2024-12-15 15:27:30,2.82%,4.75%,0.00417%,0.667%,0%,91.2%
2024-12-15 15:27:45,2.50%,4.90%,0.0987%,0.720%,0%,89.8%
2024-12-15 15:28:00,2.68%,5.26%,0.00833%,0.887%,0%,91.0%
2024-12-15 15:28:15,2.71%,4.97%,0.00412%,0.848%,0%,89.9%
2024-12-15 15:28:30,2.79%,5.27%,0%,0.954%,0%,91.1%
2024-12-15 15:28:45,2.55%,5.03%,0.00411%,0.814%,0%,90.0%
2024-12-15 15:29:00,2.75%,5.18%,0%,0.838%,0%,91.0%
2024-12-15 15:29:15,2.75%,4.41%,0.00822%,0.826%,0%,89.8%
2024-12-15 15:29:30,2.74%,4.55%,0%,0.762%,0%,91.2%
2024-12-15 15:29:45,2.56%,4.35%,0.00822%,0.814%,0%,89.9%
2024-12-15 15:30:00,2.73%,5.28%,0.00417%,0.713%,0%,91.1%
2024-12-15 15:30:15,2.69%,4.95%,0.00411%,0.769%,0%,89.9%
2024-12-15 15:30:30,2.86%,5.03%,0.00417%,0.763%,0%,91.0%
2024-12-15 15:30:45,2.71%,4.58%,0.00411%,0.662%,0%,89.9%
2024-12-15 15:31:00,2.78%,4.95%,0.00417%,0.804%,0%,91.0%
2024-12-15 15:31:15,2.75%,5.01%,0%,0.711%,0%,89.8%
2024-12-15 15:31:30,2.70%,5.10%,0%,0.825%,0%,91.1%
2024-12-15 15:31:45,2.64%,4.91%,0.00822%,0.752%,0%,89.9%
2024-12-15 15:32:00,2.92%,4.94%,0.00417%,0.742%,0%,91.1%
2024-12-15 15:32:15,2.86%,5.04%,0.00822%,0.773%,0%,89.9%
2024-12-15 15:32:30,2.88%,5.17%,0.00417%,0.875%,0%,91.2%
2024-12-15 15:32:45,3.08%,4.73%,0.0206%,0.658%,0%,89.9%
2024-12-15 15:33:00,3.15%,5.15%,0.629%,0.925%,0%,90.1%
2024-12-15 15:33:15,2.84%,4.64%,0.222%,0.798%,0%,89.4%
2024-12-15 15:33:30,2.74%,4.97%,1.15%,0.871%,0%,90.0%
2024-12-15 15:33:45,2.82%,4.52%,0.411%,0.732%,0%,89.3%
2024-12-15 15:34:00,3.02%,5.47%,0.221%,0.879%,0%,90.6%
