"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-16 04:07:30,0.292%,0.488%,0.0250%,0.0834%,0%,98.9%
2024-12-16 04:07:45,0.979%,1.40%,0.0167%,0.192%,0%,97.3%
2024-12-16 04:08:00,1.38%,2.36%,0.00417%,0.383%,0%,95.6%
2024-12-16 04:08:15,1.40%,2.06%,0.00767%,0.434%,0%,88.1%
2024-12-16 04:08:30,1.42%,2.32%,0.00833%,0.429%,0%,95.5%
2024-12-16 04:08:45,1.35%,2.13%,0%,0.349%,0%,87.9%
2024-12-16 04:09:00,1.53%,2.38%,0%,0.454%,0%,95.5%
2024-12-16 04:09:15,1.34%,2.20%,0.00383%,0.429%,0%,87.7%
2024-12-16 04:09:30,1.54%,2.38%,0.00417%,0.496%,0%,95.4%
2024-12-16 04:09:45,1.47%,2.23%,0.00383%,0.433%,0%,87.7%
2024-12-16 04:10:00,1.54%,2.39%,0.00417%,0.412%,0%,95.5%
2024-12-16 04:10:15,1.33%,2.27%,0%,0.433%,0%,87.8%
2024-12-16 04:10:30,1.46%,2.40%,0%,0.442%,0%,95.5%
2024-12-16 04:10:45,1.38%,2.09%,0.00383%,0.471%,0%,87.8%
2024-12-16 04:11:00,1.51%,2.36%,0.00417%,0.346%,0%,95.6%
2024-12-16 04:11:15,1.34%,2.06%,0%,0.509%,0%,87.8%
2024-12-16 04:11:30,1.61%,2.52%,0.00417%,0.487%,0%,95.4%
2024-12-16 04:11:45,1.41%,2.13%,0%,0.452%,0%,87.7%
2024-12-16 04:12:00,1.51%,2.30%,0.00417%,0.287%,0%,95.6%
2024-12-16 04:12:15,1.36%,2.05%,0%,0.398%,0%,87.8%
2024-12-16 04:12:30,1.63%,2.50%,0%,0.408%,0%,95.3%
2024-12-16 04:12:45,1.36%,2.02%,0%,0.348%,0%,87.8%
2024-12-16 04:13:00,1.50%,2.40%,0%,0.412%,0%,95.6%
2024-12-16 04:13:15,1.33%,2.20%,0.00383%,0.410%,0%,87.7%
2024-12-16 04:13:30,1.46%,2.58%,0.00417%,0.475%,0%,95.4%
2024-12-16 04:13:45,1.33%,2.16%,0.00833%,0.400%,0%,95.6%
2024-12-16 04:14:00,1.64%,2.72%,0%,0.463%,0%,95.5%
2024-12-16 04:14:15,1.56%,2.39%,0%,0.508%,0%,95.5%
2024-12-16 04:14:30,1.54%,2.36%,0.00417%,0.462%,0%,95.5%
2024-12-16 04:14:45,1.31%,2.24%,0.00417%,0.400%,0%,95.6%
2024-12-16 04:15:00,1.41%,2.28%,0.00834%,0.358%,0%,95.7%
2024-12-16 04:15:15,1.35%,2.23%,0%,0.408%,0%,95.6%
2024-12-16 04:15:30,1.51%,2.47%,0.00417%,0.442%,0%,95.5%
2024-12-16 04:15:45,1.50%,2.29%,0%,0.433%,0%,95.7%
2024-12-16 04:16:00,1.50%,2.37%,0.00417%,0.450%,0%,95.7%
2024-12-16 04:16:15,1.45%,2.29%,0%,0.396%,0%,95.6%
2024-12-16 04:16:30,1.63%,2.52%,0.00833%,0.321%,0%,95.5%
2024-12-16 04:16:45,1.61%,2.52%,0%,0.367%,0%,95.7%
2024-12-16 04:17:00,1.23%,2.33%,0.00382%,0.378%,0%,87.7%
2024-12-16 04:17:15,1.58%,2.42%,0%,0.442%,0%,95.5%
2024-12-16 04:17:30,1.21%,2.22%,0.00765%,0.348%,0%,87.8%
2024-12-16 04:17:45,1.38%,2.26%,0.00833%,0.425%,0%,95.8%
