"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 04:07:30,15.5 GiB,2.33 GiB,1.04 GiB,12.2 GiB,434 MiB
2024-12-16 04:07:45,15.5 GiB,2.44 GiB,1.13 GiB,12.0 GiB,434 MiB
2024-12-16 04:08:00,15.5 GiB,2.45 GiB,1.13 GiB,12.0 GiB,434 MiB
2024-12-16 04:08:15,15.5 GiB,2.46 GiB,1.13 GiB,12.0 GiB,434 MiB
2024-12-16 04:08:30,15.5 GiB,2.50 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 04:08:45,15.5 GiB,2.52 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 04:09:00,15.5 GiB,2.52 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 04:09:15,15.5 GiB,2.54 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 04:09:30,15.5 GiB,2.56 GiB,1.13 GiB,11.9 GiB,434 MiB
2024-12-16 04:09:45,15.5 GiB,2.57 GiB,1.13 GiB,11.8 GiB,434 MiB
2024-12-16 04:10:00,15.5 GiB,2.60 GiB,1.13 GiB,11.8 GiB,434 MiB
2024-12-16 04:10:15,15.5 GiB,2.61 GiB,1.13 GiB,11.8 GiB,434 MiB
2024-12-16 04:10:30,15.5 GiB,2.64 GiB,1.13 GiB,11.8 GiB,434 MiB
2024-12-16 04:10:45,15.5 GiB,2.65 GiB,1.13 GiB,11.8 GiB,434 MiB
2024-12-16 04:11:00,15.5 GiB,2.67 GiB,1.13 GiB,11.7 GiB,434 MiB
2024-12-16 04:11:15,15.5 GiB,2.67 GiB,1.13 GiB,11.7 GiB,434 MiB
2024-12-16 04:11:30,15.5 GiB,2.70 GiB,1.13 GiB,11.7 GiB,434 MiB
2024-12-16 04:11:45,15.5 GiB,2.72 GiB,1.14 GiB,11.7 GiB,434 MiB
2024-12-16 04:12:00,15.5 GiB,2.72 GiB,1.14 GiB,11.7 GiB,434 MiB
2024-12-16 04:12:15,15.5 GiB,2.75 GiB,1.14 GiB,11.7 GiB,434 MiB
2024-12-16 04:12:30,15.5 GiB,2.76 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:12:45,15.5 GiB,2.77 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:13:00,15.5 GiB,2.78 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:13:15,15.5 GiB,2.80 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:13:30,15.5 GiB,2.83 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:13:45,15.5 GiB,2.84 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:14:00,15.5 GiB,2.85 GiB,1.14 GiB,11.6 GiB,434 MiB
2024-12-16 04:14:15,15.5 GiB,2.87 GiB,1.14 GiB,11.5 GiB,434 MiB
2024-12-16 04:14:30,15.5 GiB,2.90 GiB,1.14 GiB,11.5 GiB,434 MiB
2024-12-16 04:14:45,15.5 GiB,2.91 GiB,1.14 GiB,11.5 GiB,434 MiB
2024-12-16 04:15:00,15.5 GiB,2.94 GiB,1.14 GiB,11.5 GiB,434 MiB
2024-12-16 04:15:15,15.5 GiB,2.93 GiB,1.14 GiB,11.5 GiB,434 MiB
2024-12-16 04:15:30,15.5 GiB,2.96 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:15:45,15.5 GiB,2.97 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:16:00,15.5 GiB,2.99 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:16:15,15.5 GiB,2.99 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:16:30,15.5 GiB,3.03 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:16:45,15.5 GiB,3.05 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:17:00,15.5 GiB,3.06 GiB,1.14 GiB,11.4 GiB,434 MiB
2024-12-16 04:17:15,15.5 GiB,3.08 GiB,1.14 GiB,11.3 GiB,434 MiB
2024-12-16 04:17:30,15.5 GiB,3.11 GiB,1.14 GiB,11.3 GiB,434 MiB
2024-12-16 04:17:45,15.5 GiB,3.13 GiB,1.14 GiB,11.3 GiB,434 MiB
