"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-15 18:31:15,0.204%,0.279%,0.0208%,0.0250%,0%,99.4%
2024-12-15 18:31:30,0.0833%,0.125%,0.00417%,0.0333%,0%,99.7%
2024-12-15 18:31:45,0.792%,2.27%,0.0125%,0.492%,0%,96.6%
2024-12-15 18:32:00,0.788%,1.75%,0.00833%,0.425%,0%,96.9%
2024-12-15 18:32:15,0.633%,0.850%,0.0208%,0.183%,0%,98.1%
2024-12-15 18:32:30,0.625%,0.667%,0.00833%,0.196%,0%,98.4%
2024-12-15 18:32:45,0.671%,0.804%,0.00417%,0.250%,0%,98.3%
2024-12-15 18:33:00,0.600%,0.671%,0.00833%,0.258%,0%,98.4%
2024-12-15 18:33:15,0.683%,0.729%,0.00417%,0.342%,0%,98.4%
2024-12-15 18:33:30,0.579%,0.721%,0.00834%,0.196%,0%,98.4%
2024-12-15 18:33:45,0.733%,0.708%,0.00833%,0.154%,0%,98.3%
2024-12-15 18:34:00,0.646%,0.700%,0.00417%,0.246%,0%,98.4%
2024-12-15 18:34:15,0.621%,0.796%,0.0125%,0.204%,0%,98.3%
2024-12-15 18:34:30,0.571%,0.733%,0.00417%,0.246%,0%,98.4%
2024-12-15 18:34:45,0.579%,0.706%,0.00386%,0.201%,0%,91.1%
2024-12-15 18:35:00,0.592%,0.742%,0.00417%,0.229%,0%,98.3%
2024-12-15 18:35:15,0.518%,0.715%,0.0116%,0.159%,0%,91.2%
2024-12-15 18:35:30,0.538%,0.908%,0.00833%,0.254%,0%,98.4%
2024-12-15 18:35:45,0.560%,0.698%,0.0116%,0.232%,0%,91.2%
2024-12-15 18:36:00,0.671%,0.754%,0.00833%,0.204%,0%,98.4%
2024-12-15 18:36:15,0.645%,0.776%,0.00773%,0.212%,0%,91.1%
2024-12-15 18:36:30,0.683%,0.712%,0.00417%,0.258%,0%,98.4%
2024-12-15 18:36:45,0.575%,0.667%,0.00772%,0.212%,0%,91.1%
2024-12-15 18:37:00,0.683%,0.667%,0.00833%,0.204%,0%,98.4%
2024-12-15 18:37:15,0.634%,0.847%,0.0116%,0.379%,0%,91.1%
2024-12-15 18:37:30,0.604%,0.704%,0.00417%,0.225%,0%,98.3%
2024-12-15 18:37:45,0.583%,0.702%,0.00772%,0.351%,0%,91.1%
2024-12-15 18:38:00,0.537%,0.696%,0.00417%,0.187%,0%,98.3%
2024-12-15 18:38:15,0.579%,1.00%,0%,0.178%,0%,90.9%
2024-12-15 18:38:30,0.554%,0.871%,0.0208%,0.288%,0%,98.3%
2024-12-15 18:38:45,0.640%,0.617%,0.00386%,0.181%,0%,91.1%
2024-12-15 18:39:00,0.688%,0.683%,0.0125%,0.133%,0%,98.4%
2024-12-15 18:39:15,0.610%,0.780%,0.00772%,0.224%,0%,91.0%
2024-12-15 18:39:30,0.646%,0.725%,0.00417%,0.221%,0%,98.4%
2024-12-15 18:39:45,0.559%,0.632%,0%,0.289%,0%,91.1%
2024-12-15 18:40:00,0.621%,0.675%,0.0125%,0.242%,0%,98.4%
2024-12-15 18:40:15,0.652%,0.783%,0.0116%,0.289%,0%,91.0%
2024-12-15 18:40:30,0.683%,0.887%,0.00833%,0.225%,0%,98.3%
2024-12-15 18:40:45,0.654%,0.717%,0.00833%,0.229%,0%,98.4%
2024-12-15 18:41:00,0.604%,0.692%,0.0125%,0.204%,0%,98.4%
2024-12-15 18:41:15,0.625%,0.829%,0.00417%,0.229%,0%,98.3%
2024-12-15 18:41:30,0.613%,0.733%,0.00833%,0.183%,0%,98.4%
2024-12-15 18:41:45,0.617%,0.738%,0%,0.250%,0%,98.4%
