"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-15 18:31:15,15.5 GiB,2.43 GiB,439 MiB,12.7 GiB,474 MiB
2024-12-15 18:31:30,15.5 GiB,2.43 GiB,440 MiB,12.7 GiB,474 MiB
2024-12-15 18:31:45,15.5 GiB,2.81 GiB,494 MiB,12.3 GiB,474 MiB
2024-12-15 18:32:00,15.5 GiB,2.92 GiB,522 MiB,12.1 GiB,474 MiB
2024-12-15 18:32:15,15.5 GiB,3.09 GiB,578 MiB,11.9 GiB,474 MiB
2024-12-15 18:32:30,15.5 GiB,3.09 GiB,607 MiB,11.9 GiB,474 MiB
2024-12-15 18:32:45,15.5 GiB,3.30 GiB,662 MiB,11.6 GiB,474 MiB
2024-12-15 18:33:00,15.5 GiB,3.31 GiB,690 MiB,11.6 GiB,474 MiB
2024-12-15 18:33:15,15.5 GiB,3.36 GiB,746 MiB,11.5 GiB,474 MiB
2024-12-15 18:33:30,15.5 GiB,3.37 GiB,774 MiB,11.4 GiB,474 MiB
2024-12-15 18:33:45,15.5 GiB,3.50 GiB,829 MiB,11.2 GiB,474 MiB
2024-12-15 18:34:00,15.5 GiB,3.52 GiB,856 MiB,11.2 GiB,474 MiB
2024-12-15 18:34:15,15.5 GiB,3.55 GiB,912 MiB,11.1 GiB,474 MiB
2024-12-15 18:34:30,15.5 GiB,3.57 GiB,940 MiB,11.1 GiB,474 MiB
2024-12-15 18:34:45,15.5 GiB,3.66 GiB,968 MiB,10.9 GiB,474 MiB
2024-12-15 18:35:00,15.5 GiB,3.68 GiB,1024 MiB,10.9 GiB,474 MiB
2024-12-15 18:35:15,15.5 GiB,3.69 GiB,1.03 GiB,10.8 GiB,474 MiB
2024-12-15 18:35:30,15.5 GiB,3.71 GiB,1.08 GiB,10.8 GiB,474 MiB
2024-12-15 18:35:45,15.5 GiB,3.72 GiB,1.11 GiB,10.7 GiB,474 MiB
2024-12-15 18:36:00,15.5 GiB,3.77 GiB,1.16 GiB,10.6 GiB,474 MiB
2024-12-15 18:36:15,15.5 GiB,3.79 GiB,1.19 GiB,10.6 GiB,474 MiB
2024-12-15 18:36:30,15.5 GiB,3.81 GiB,1.25 GiB,10.5 GiB,474 MiB
2024-12-15 18:36:45,15.5 GiB,3.82 GiB,1.27 GiB,10.5 GiB,474 MiB
2024-12-15 18:37:00,15.5 GiB,3.86 GiB,1.33 GiB,10.4 GiB,474 MiB
2024-12-15 18:37:15,15.5 GiB,3.88 GiB,1.36 GiB,10.3 GiB,474 MiB
2024-12-15 18:37:30,15.5 GiB,3.91 GiB,1.41 GiB,10.2 GiB,474 MiB
2024-12-15 18:37:45,15.5 GiB,3.92 GiB,1.44 GiB,10.2 GiB,474 MiB
2024-12-15 18:38:00,15.5 GiB,3.93 GiB,1.46 GiB,10.2 GiB,474 MiB
2024-12-15 18:38:15,15.5 GiB,3.97 GiB,1.52 GiB,10.1 GiB,474 MiB
2024-12-15 18:38:30,15.5 GiB,3.98 GiB,1.55 GiB,10.0 GiB,474 MiB
2024-12-15 18:38:45,15.5 GiB,4.00 GiB,1.60 GiB,9.94 GiB,474 MiB
2024-12-15 18:39:00,15.5 GiB,4.02 GiB,1.63 GiB,9.90 GiB,474 MiB
2024-12-15 18:39:15,15.5 GiB,4.05 GiB,1.68 GiB,9.81 GiB,474 MiB
2024-12-15 18:39:30,15.5 GiB,4.07 GiB,1.71 GiB,9.77 GiB,474 MiB
2024-12-15 18:39:45,15.5 GiB,4.09 GiB,1.76 GiB,9.69 GiB,474 MiB
2024-12-15 18:40:00,15.5 GiB,4.11 GiB,1.79 GiB,9.65 GiB,473 MiB
2024-12-15 18:40:15,15.5 GiB,4.15 GiB,1.85 GiB,9.56 GiB,473 MiB
2024-12-15 18:40:30,15.5 GiB,4.16 GiB,1.87 GiB,9.52 GiB,473 MiB
2024-12-15 18:40:45,15.5 GiB,4.17 GiB,1.90 GiB,9.48 GiB,473 MiB
2024-12-15 18:41:00,15.5 GiB,4.19 GiB,1.95 GiB,9.40 GiB,473 MiB
2024-12-15 18:41:15,15.5 GiB,4.23 GiB,1.98 GiB,9.34 GiB,473 MiB
2024-12-15 18:41:30,15.5 GiB,4.25 GiB,2.04 GiB,9.26 GiB,473 MiB
2024-12-15 18:41:45,15.5 GiB,4.27 GiB,2.06 GiB,9.22 GiB,473 MiB
