"Time","Busy System","Busy User","Busy Iowait","Busy IRQs","Busy Other","Idle"
2024-12-15 16:00:45,0.412%,0.317%,0.0875%,0.1000%,0%,99.1%
2024-12-15 16:01:00,0.147%,0.389%,0.0183%,0.0440%,0%,87.3%
2024-12-15 16:01:15,2.04%,3.07%,0.00417%,0.737%,0%,94.1%
2024-12-15 16:01:30,2.40%,3.11%,0.00417%,0.754%,0%,93.6%
2024-12-15 16:01:45,2.30%,3.45%,0%,0.754%,0%,93.6%
2024-12-15 16:02:00,2.19%,3.38%,0.00417%,0.733%,0%,93.4%
2024-12-15 16:02:15,2.20%,3.37%,0%,0.800%,0%,93.5%
2024-12-15 16:02:30,2.35%,3.67%,0%,0.608%,0%,93.5%
2024-12-15 16:02:45,2.14%,3.33%,0.00833%,0.858%,0%,93.4%
2024-12-15 16:03:00,2.30%,3.46%,0.00417%,0.646%,0%,93.4%
2024-12-15 16:03:15,2.21%,3.28%,0%,0.646%,0%,93.6%
2024-12-15 16:03:30,2.30%,3.70%,0.00417%,0.808%,0%,93.4%
2024-12-15 16:03:45,1.94%,2.76%,0%,0.621%,0%,82.5%
2024-12-15 16:04:00,2.09%,3.42%,0.00833%,0.725%,0%,93.6%
2024-12-15 16:04:15,1.74%,2.93%,0.00367%,0.532%,0%,82.5%
2024-12-15 16:04:30,2.23%,3.48%,0%,0.783%,0%,93.5%
2024-12-15 16:04:45,1.96%,2.82%,0.00364%,0.725%,0%,81.9%
2024-12-15 16:05:00,2.33%,3.36%,0%,0.700%,0%,93.8%
2024-12-15 16:05:15,1.79%,2.96%,0.0110%,0.632%,0%,82.7%
2024-12-15 16:05:30,2.12%,3.38%,0%,0.679%,0%,93.7%
2024-12-15 16:05:45,1.80%,3.09%,0.00367%,0.583%,0%,82.6%
2024-12-15 16:06:00,2.10%,3.34%,0%,0.633%,0%,93.8%
2024-12-15 16:06:15,1.79%,2.77%,0%,0.554%,0%,82.1%
2024-12-15 16:06:30,2.43%,3.37%,0.00417%,0.662%,0%,93.6%
2024-12-15 16:06:45,1.93%,2.84%,0%,0.583%,0%,82.0%
2024-12-15 16:07:00,2.23%,3.23%,0%,0.679%,0%,93.8%
2024-12-15 16:07:15,2.20%,3.22%,0.00417%,0.717%,0%,93.8%
2024-12-15 16:07:30,2.11%,3.39%,0%,0.650%,0%,93.7%
2024-12-15 16:07:45,2.02%,3.29%,0.00417%,0.658%,0%,93.7%
2024-12-15 16:08:00,2.04%,3.16%,0%,0.658%,0%,93.8%
2024-12-15 16:08:15,2.14%,3.32%,0%,0.592%,0%,93.8%
2024-12-15 16:08:30,2.23%,3.34%,0.00417%,0.788%,0%,93.5%
2024-12-15 16:08:45,2.15%,3.14%,0%,0.650%,0%,93.8%
2024-12-15 16:09:00,2.30%,3.24%,0.0167%,0.708%,0%,93.5%
2024-12-15 16:09:15,2.31%,3.55%,0.00417%,0.808%,0%,93.4%
2024-12-15 16:09:30,1.79%,2.94%,0.0110%,0.664%,0%,82.4%
2024-12-15 16:09:45,2.07%,3.25%,0%,0.762%,0%,93.8%
2024-12-15 16:10:00,1.77%,2.99%,0%,0.703%,0%,82.4%
2024-12-15 16:10:15,2.10%,3.41%,0%,0.579%,0%,93.8%
2024-12-15 16:10:30,1.81%,2.92%,0.00365%,0.650%,0%,82.2%
2024-12-15 16:10:45,2.25%,3.20%,0.00417%,0.721%,0%,93.8%
2024-12-15 16:11:00,1.79%,2.78%,0%,0.662%,0%,82.0%
2024-12-15 16:11:15,2.06%,3.17%,0.00417%,0.712%,0%,93.8%
