"Time","RAM Total","RAM Used","RAM Cache + Buffer","RAM Free","SWAP Used"
2024-12-16 00:34:15,15.5 GiB,3.69 GiB,3.77 GiB,8.10 GiB,471 MiB
2024-12-16 00:34:30,15.5 GiB,3.69 GiB,3.61 GiB,8.25 GiB,471 MiB
2024-12-16 00:34:45,15.5 GiB,3.95 GiB,3.62 GiB,7.98 GiB,471 MiB
2024-12-16 00:35:00,15.5 GiB,3.99 GiB,3.62 GiB,7.94 GiB,471 MiB
2024-12-16 00:35:15,15.5 GiB,4.04 GiB,3.79 GiB,7.72 GiB,471 MiB
2024-12-16 00:35:30,15.5 GiB,4.06 GiB,3.79 GiB,7.70 GiB,471 MiB
2024-12-16 00:35:45,15.5 GiB,4.12 GiB,3.79 GiB,7.65 GiB,471 MiB
2024-12-16 00:36:00,15.5 GiB,4.14 GiB,3.79 GiB,7.62 GiB,471 MiB
2024-12-16 00:36:15,15.5 GiB,4.19 GiB,3.79 GiB,7.57 GiB,471 MiB
2024-12-16 00:36:30,15.5 GiB,4.20 GiB,3.79 GiB,7.56 GiB,471 MiB
2024-12-16 00:36:45,15.5 GiB,4.23 GiB,3.79 GiB,7.53 GiB,471 MiB
2024-12-16 00:37:00,15.5 GiB,4.28 GiB,3.79 GiB,7.48 GiB,471 MiB
2024-12-16 00:37:15,15.5 GiB,4.31 GiB,3.79 GiB,7.45 GiB,471 MiB
2024-12-16 00:37:30,15.5 GiB,4.35 GiB,3.79 GiB,7.41 GiB,471 MiB
2024-12-16 00:37:45,15.5 GiB,4.37 GiB,3.79 GiB,7.39 GiB,471 MiB
2024-12-16 00:38:00,15.5 GiB,4.40 GiB,3.79 GiB,7.36 GiB,471 MiB
2024-12-16 00:38:15,15.5 GiB,4.44 GiB,3.79 GiB,7.32 GiB,471 MiB
2024-12-16 00:38:30,15.5 GiB,4.46 GiB,3.79 GiB,7.30 GiB,471 MiB
2024-12-16 00:38:45,15.5 GiB,4.52 GiB,3.79 GiB,7.24 GiB,471 MiB
2024-12-16 00:39:00,15.5 GiB,4.55 GiB,3.79 GiB,7.21 GiB,471 MiB
2024-12-16 00:39:15,15.5 GiB,4.59 GiB,3.79 GiB,7.17 GiB,471 MiB
2024-12-16 00:39:30,15.5 GiB,4.61 GiB,3.79 GiB,7.15 GiB,471 MiB
2024-12-16 00:39:45,15.5 GiB,4.66 GiB,3.79 GiB,7.10 GiB,471 MiB
2024-12-16 00:40:00,15.5 GiB,4.69 GiB,3.79 GiB,7.07 GiB,471 MiB
2024-12-16 00:40:15,15.5 GiB,4.71 GiB,3.79 GiB,7.05 GiB,471 MiB
2024-12-16 00:40:30,15.5 GiB,4.75 GiB,3.79 GiB,7.01 GiB,471 MiB
2024-12-16 00:40:45,15.5 GiB,4.77 GiB,3.79 GiB,6.99 GiB,471 MiB
2024-12-16 00:41:00,15.5 GiB,4.83 GiB,3.79 GiB,6.92 GiB,471 MiB
2024-12-16 00:41:15,15.5 GiB,4.85 GiB,3.79 GiB,6.91 GiB,471 MiB
2024-12-16 00:41:30,15.5 GiB,4.89 GiB,3.79 GiB,6.87 GiB,471 MiB
2024-12-16 00:41:45,15.5 GiB,4.92 GiB,3.79 GiB,6.84 GiB,471 MiB
2024-12-16 00:42:00,15.5 GiB,4.97 GiB,3.79 GiB,6.79 GiB,471 MiB
2024-12-16 00:42:15,15.5 GiB,4.99 GiB,3.79 GiB,6.77 GiB,471 MiB
2024-12-16 00:42:30,15.5 GiB,5.01 GiB,3.79 GiB,6.75 GiB,471 MiB
2024-12-16 00:42:45,15.5 GiB,5.07 GiB,3.79 GiB,6.69 GiB,471 MiB
2024-12-16 00:43:00,15.5 GiB,5.09 GiB,3.79 GiB,6.67 GiB,471 MiB
2024-12-16 00:43:15,15.5 GiB,5.13 GiB,3.79 GiB,6.62 GiB,471 MiB
2024-12-16 00:43:30,15.5 GiB,5.15 GiB,3.79 GiB,6.61 GiB,471 MiB
2024-12-16 00:43:45,15.5 GiB,5.17 GiB,3.79 GiB,6.58 GiB,471 MiB
2024-12-16 00:44:00,15.5 GiB,5.23 GiB,3.79 GiB,6.53 GiB,471 MiB
2024-12-16 00:44:15,15.5 GiB,5.24 GiB,3.79 GiB,6.51 GiB,471 MiB
2024-12-16 00:44:30,15.5 GiB,5.29 GiB,3.79 GiB,6.47 GiB,471 MiB
